Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
THE CENTRAL,EU TONG SEN STREET,Retail,"1,550,000",635.08,"2,441",Jul-26,Strata,59,"26,271",99 yrs lease commencing from 2001,01,11 to 15
THE ARCADE,COLLYER QUAY,Retail,"1,700,000",365.98,"4,645",Jul-26,Strata,34,"50,000",99 yrs lease commencing from 1979,01,01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Retail,"2,155,000","1,054.87","2,043",Jun-26,Strata,98,"21,990",99 yrs lease commencing from 1980,01,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"398,000",269.1,"1,479",Jun-26,Strata,25,"15,920",99 yrs lease commencing from 1980,03,B1 to B5
EON SHENTON,SHENTON WAY,Retail,"650,000",150.7,"4,313",May-26,Strata,14,"46,429",99 yrs lease commencing from 2011,02,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"580,000",193.75,"2,994",May-26,Strata,18,"32,222",Freehold,01,01 to 05
HAVELOCK2,HAVELOCK ROAD,Retail,"850,000",215.28,"3,948",Apr-26,Strata,20,"42,500",99 yrs lease commencing from 1983,01,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"1,399,999",484.38,"2,890",Apr-26,Strata,45,"31,111",99 yrs lease commencing from 1970,01,01 to 05
THE CENTRAL,EU TONG SEN STREET,Retail,"1,500,000",635.08,"2,362",Apr-26,Strata,59,"25,424",99 yrs lease commencing from 2001,01,01 to 05
NORMANTON PARK,NORMANTON PARK,Retail,"1,920,000",473.62,"4,054",Mar-26,Strata,44,"43,636",99 yrs lease commencing from 2019,05,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"658,000",193.75,"3,396",Mar-26,Strata,18,"36,556",Freehold,01,01 to 05
ONE-NORTH EDEN,SLIM BARRACKS RISE,Retail,"12,188,000","4,424","2,755",Mar-26,Strata,411,"29,655",99 yrs lease commencing from 2019,05,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Retail,"708,000",258.34,"2,741",Mar-26,Strata,24,"29,500",99 yrs lease commencing from 1970,02,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,460,000",441.32,"3,308",Mar-26,Strata,41,"35,610",99 yrs lease commencing from 1968,01,01 to 05
N.A.,TELOK BLANGAH STREET 32,Retail,"641,134","2,540.3",252,Feb-26,Strata,236,"2,717",30 yrs lease commencing from 2001,04,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"2,200,000",452.09,"4,866",Feb-26,Strata,42,"52,381",99 yrs lease commencing from 1970,01,B1 to B5
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"28,000,000","5,704.92","4,908",Feb-26,Strata,530,"52,830",99 yrs lease commencing from 1970,01,01 to 05
NORMANTON PARK,NORMANTON PARK,Retail,"2,300,000",473.62,"4,856",Jan-26,Strata,44,"52,273",99 yrs lease commencing from 2019,05,01 to 05
NORMANTON PARK,NORMANTON PARK,Retail,"2,300,000",473.62,"4,856",Jan-26,Strata,44,"52,273",99 yrs lease commencing from 2019,05,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"788,888",204.52,"3,857",Jan-26,Strata,19,"41,520",99 yrs lease commencing from 1968,01,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"560,000",182.99,"3,060",Dec-25,Strata,17,"32,941",Freehold,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"403,800",118.4,"3,410",Dec-25,Strata,11,"36,709",Freehold,03,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"830,000",322.92,"2,570",Dec-25,Strata,30,"27,667",99 yrs lease commencing from 1970,01,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"1,250,000",419.8,"2,978",Dec-25,Strata,39,"32,051",Freehold,05,01 to 05
ORCHID HOTEL,TRAS LINK,Retail,"1,158,888",409.03,"2,833",Nov-25,Strata,38,"30,497",99 yrs lease commencing from 2007,02,01 to 05
EON SHENTON,SHENTON WAY,Retail,"980,000",312.16,"3,139",Nov-25,Strata,29,"33,793",99 yrs lease commencing from 2011,02,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"1,168,400",635.08,"1,840",Nov-25,Strata,59,"19,803",Freehold,05,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"718,000",387.5,"1,853",Oct-25,Strata,36,"19,944",Freehold,05,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"1,354,200",409.03,"3,311",Oct-25,Strata,38,"35,637",Freehold,05,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"1,070,000",226.04,"4,734",Oct-25,Strata,21,"50,952",Freehold,03,01 to 05
ALEXANDRA CENTRAL,ALEXANDRA ROAD,Retail,"850,000",193.75,"4,387",Sep-25,Strata,18,"47,222",99 yrs lease commencing from 2012,03,01 to 05
THE ARCADE,COLLYER QUAY,Retail,"1,130,000",279.86,"4,038",Sep-25,Strata,26,"43,462",99 yrs lease commencing from 1979,01,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"589,000",182.99,"3,219",Sep-25,Strata,17,"34,647",Freehold,03,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,200,000",452.09,"2,654",Aug-25,Strata,42,"28,571",99 yrs lease commencing from 1968,01,01 to 05
N.A.,ROBINSON ROAD,Retail,"27,683,416","6,727.5","4,115",Aug-25,Strata,625,"44,293",Freehold,01,01 to 05
THE HILL @ONE-NORTH,SLIM BARRACKS RISE,Retail,"13,500,000","5,371.24","2,513",Aug-25,Strata,499,"27,054",99 yrs lease commencing from 2022,05,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"700,000",150.7,"4,645",Aug-25,Strata,14,"50,000",99 yrs lease commencing from 1968,01,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"1,160,000",441.32,"2,628",Aug-25,Strata,41,"28,293",99 yrs lease commencing from 1980,03,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"925,000",505.91,"1,828",Jul-25,Strata,47,"19,681",99 yrs lease commencing from 1968,01,01 to 05
