Symbol,Name,"Insider Name",Title,Transaction,Shares,@Price,"Trans Total","Shares After",Date
INGM,"Ingram Micro Holding Corp","American Shareholder",N/A,Sell,13125000,27.188,356842500,164341319,2026-09-10
TH,"Target Hospitality Corp","American Shareholder",N/A,Sell,16100000,17.71,285130999,29878409,2026-09-10
HGTY,"Hagerty Inc","American Shareholder",N/A,"Transfer In",10637500,0,143499875,0,2026-09-11
RSG,"Republic Services","American Shareholder",N/A,Buy,580810,222.6298,129305615,117058444,2026-09-11
HGTY,"Hagerty Inc","American Shareholder",N/A,Sell,10637500,11.472,122033400,0,2026-09-11
HGTY,"Hagerty Inc","American Shareholder",N/A,"Transfer In",7836411,0,106183368,10944411,2026-09-11
PMTS,"CPI Card Group","Pacific Capit Tricor",N/A,Sell,2687921,20.425,54900786,0,2026-09-14
AMD,"Adv Micro Devices","Dr Lisa T Su","Chair & CEO",Sell,95000,506.7965,48145667,3717701,2026-09-10
NTSK,"Netskope Inc Cl A","American Shareholder",N/A,"Transfer In",3034693,0,45823865,3034693,2026-09-10
DFTX,"Definium Therapeutics Inc","Robert Barrow",CEO,Award,750000,0,29167501,2244640,2026-09-14
HNGE,"Hinge Health Inc Cl A","Daniel Antonio Perez",CEO,"Transfer In",295000,0,26036701,35470,2026-09-10
PBF,"PBF Energy Inc","American Shareholder",N/A,Sell,319270,77.7737,24830809,13866127,2026-09-10
GPI,"Group 1 Automotive","American Shareholder",N/A,Buy,84000,281.7752,23669117,1446640,2026-09-10
HNGE,"Hinge Health Inc Cl A","Daniel Antonio Perez",CEO,Sell,250000,89.4466,22361649,35470,2026-09-10
HNGE,"Hinge Health Inc Cl A","Gabriel Mi Mecklenburg",Chair,Sell,250000,88.9683,22242075,0,2026-09-11
HNGE,"Hinge Health Inc Cl A","Gabriel Mi Mecklenburg",Chair,"Transfer In",250000,0,22147500,0,2026-09-11
GME,"Gamestop Corp","Ryan Cohen","Chair & CEO",Buy,1000000,20.3759,20375900,39347842,2026-09-10
CHYM,"Chime Financial Inc Cl A","Shawn T Carolan",N/A,Sell,579313,33.1333,19194551,8737259,2026-09-11
WDAY,"Workday Inc","David A Duffield",CEOE,Sell,100780,185.6412,18708920,105049,2026-09-10
WDAY,"Workday Inc","David A Duffield",CEOE,"Transfer In",100780,0,18653370,105049,2026-09-10
PTGX,"Protagonist Therapeutics Inc","Dinesh V Patel",CEO,"Sale Post-exercise",125000,145.9245,18240563,522968,2026-09-10
GMRS,"Gmr Solutions Inc Cl A","Nicola Loporcaro","Chair & CEO","Sale Post-exercise",1457102,12.2,17776645,2855580,2026-09-14
AMD,"Adv Micro Devices","Dr Lisa T Su","Chair & CEO","Given Away",35000,0,17626000,3717701,2026-09-10
CG,"The Carlyle Group","David M Rubenstein",Co-Chair,Sell,400000,42.74,17096001,26899644,2026-09-11
NTRA,"Natera Inc","Dr Matthew Rabinowitz",Chair,Sell,50000,327.9653,16398265,2227394,2026-09-11
FANG,"Diamondback Energy","Travis D Stice",Chair,Sell,75000,204.3103,15323272,355041,2026-09-11
ESTC,"Elastic N.V.","Shay Banon",CTO,Sell,155210,86.7117,13458522,5549748,2026-09-10
DBX,"Dropbox Inc","Andrew (Drew) W Houston","Chair & Co-CEO","Transfer In",383800,0,13452190,9427838,2026-09-10
DBX,"Dropbox Inc","Andrew (Drew) W Houston","Chair & Co-CEO",Sell,383800,35.0162,13439218,9427838,2026-09-10
SB,"Safe Bulkers Inc","Polys Hajioannou","Chair & CEO",Subscribe,1500000,6.7,11660613,49881427,2026-09-11
CHYM,"Chime Financial Inc Cl A","James M P Feuille",N/A,Sell,351890,32.9966,11611173,20741229,2026-09-11
PMTS,"CPI Card Group","American Shareholder",N/A,Subscribe,525000,21.5,11287500,2701056,2026-09-14
TTD,"Trade Desk Inc","Vivek Kundra",COO,Award,724112,0,10383766,958192,2026-09-14
UBER,"UBER Technologies","Dara Khosrowshahi",CEO,Buy,141000,70.9642,10005953,1367100,2026-09-10
