Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
ORCL,162.75,2026-09-11,2,142.00,Put,1.66,135.00,Put,0.73,141.07,-13.32%,0.93,6.07,+15.32%,"6.53 to 1",66.59%,16.4%
ORCL,162.75,2026-09-11,2,142.00,Put,1.66,139.00,Put,1.19,141.53,-13.04%,0.47,2.53,+18.58%,"5.38 to 1",66.59%,17.0%
ORCL,162.75,2026-09-11,2,142.00,Put,1.66,140.00,Put,1.34,141.68,-12.95%,0.32,1.68,+19.05%,"5.25 to 1",66.59%,17.1%
ORCL,162.75,2026-09-11,2,143.00,Put,1.84,135.00,Put,0.73,141.89,-12.82%,1.11,6.89,+16.11%,"6.21 to 1",66.59%,17.4%
ORCL,162.75,2026-09-11,2,143.00,Put,1.84,139.00,Put,1.19,142.35,-12.53%,0.65,3.35,+19.40%,"5.15 to 1",66.59%,18.0%
ORCL,162.75,2026-09-11,2,143.00,Put,1.84,140.00,Put,1.34,142.5,-12.44%,0.5,2.5,+20.00%,"5.00 to 1",66.59%,18.2%
ORCL,162.75,2026-09-18,9,142.00,Put,2.54,130.00,Put,0.79,140.25,-13.82%,1.75,10.25,+17.07%,"5.86 to 1",66.59%,18.4%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,130.00,Put,0.36,143.04,-12.11%,1.96,13.04,+15.03%,"6.65 to 1",66.59%,18.9%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,133.00,Put,0.55,143.23,-11.99%,1.77,10.23,+17.30%,"5.78 to 1",66.59%,19.1%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,135.00,Put,0.73,143.41,-11.88%,1.59,8.41,+18.91%,"5.29 to 1",66.59%,19.3%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,139.00,Put,1.19,143.87,-11.60%,1.13,4.87,+23.20%,"4.31 to 1",66.59%,19.9%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,140.00,Put,1.34,144.02,-11.51%,0.98,4.02,+24.38%,"4.10 to 1",66.59%,20.1%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,142.00,Put,1.73,144.41,-11.27%,0.59,2.41,+24.48%,"4.08 to 1",66.59%,20.7%
ORCL,162.75,2026-09-11,2,145.00,Put,2.32,143.00,Put,1.94,144.62,-11.14%,0.38,1.62,+23.46%,"4.26 to 1",66.59%,21.0%
"Downloaded from Barchart.com as of 09-09-2026 09:30am CDT"
