Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
ADBE,289.15,2026-09-18,22,260.00,Put,4.5,250.00,Put,3,258.5,-10.60%,1.5,8.5,+17.65%,"5.67 to 1",79.34%,21.3%
ADBE,289.15,2026-09-18,22,260.00,Put,4.5,245.00,Put,2.5,258,-10.77%,2,13,+15.38%,"6.50 to 1",79.34%,20.9%
DELL,472.26,2026-09-18,22,400.00,Put,8.5,390.00,Put,6.9,398.4,-15.64%,1.6,8.4,+19.05%,"5.25 to 1",70.78%,18.9%
DELL,472.26,2026-09-18,22,400.00,Put,8.5,380.00,Put,5.3,396.8,-15.98%,3.2,16.8,+19.05%,"5.25 to 1",70.78%,18.3%
ORCL,151.94,2026-10-16,50,125.00,Put,3.7,120.00,Put,2.9,124.2,-18.26%,0.8,4.2,+19.05%,"5.25 to 1",64.03%,19.8%
ORCL,151.94,2026-10-16,50,125.00,Put,3.7,115.00,Put,2.09,123.39,-18.79%,1.61,8.39,+19.19%,"5.21 to 1",64.03%,19.1%
ORCL,151.94,2026-10-16,50,125.00,Put,3.7,110.00,Put,1.48,122.78,-19.19%,2.22,12.78,+17.37%,"5.76 to 1",64.03%,18.5%
ORCL,151.94,2026-09-18,22,130.00,Put,2.6,125.00,Put,1.79,129.19,-14.97%,0.81,4.19,+19.33%,"5.17 to 1",64.03%,18.5%
ORCL,151.94,2026-09-18,22,135.00,Put,3.8,115.00,Put,0.75,131.95,-13.16%,3.05,16.95,+17.99%,"5.56 to 1",64.03%,21.8%
ORCL,151.94,2026-09-18,22,135.00,Put,3.8,110.00,Put,0.5,131.7,-13.32%,3.3,21.7,+15.21%,"6.58 to 1",64.03%,21.5%
GDX,103.69,2026-10-16,50,92.00,Put,2.2,80.00,Put,0.52,90.32,-12.89%,1.68,10.32,+16.28%,"6.14 to 1",54.24%,21.1%
GDX,103.69,2026-10-16,50,90.00,Put,1.71,85.00,Put,0.99,89.28,-13.90%,0.72,4.28,+16.82%,"5.94 to 1",54.24%,19.2%
GDX,103.69,2026-10-16,50,92.00,Put,2.2,85.00,Put,0.99,90.79,-12.44%,1.21,5.79,+20.90%,"4.79 to 1",54.24%,22.0%
CRWD,227.96,2026-10-16,50,195.00,Put,4.65,180.00,Put,2.52,192.87,-15.39%,2.13,12.87,+16.55%,"6.04 to 1",52.49%,19.5%
CRWD,227.96,2026-10-16,50,195.00,Put,4.65,185.00,Put,3.2,193.55,-15.09%,1.45,8.55,+16.96%,"5.90 to 1",52.49%,20.0%
CRWD,227.96,2026-09-18,22,205.00,Put,3.2,195.00,Put,1.76,203.56,-10.70%,1.44,8.56,+16.82%,"5.94 to 1",52.49%,19.4%
CRWD,227.96,2026-09-18,22,205.00,Put,3.2,200.00,Put,2.51,204.31,-10.37%,0.69,4.31,+16.01%,"6.25 to 1",52.49%,20.2%
CRWD,227.96,2026-10-16,50,195.00,Put,4.65,175.00,Put,1.92,192.27,-15.66%,2.73,17.27,+15.81%,"6.33 to 1",52.49%,19.0%
CRWD,227.96,2026-10-16,50,200.00,Put,5.85,170.00,Put,1.5,195.65,-14.17%,4.35,25.65,+16.96%,"5.90 to 1",52.49%,21.6%
