Symbol,Price~,"Exp Date",DTE,"Leg1 Strike",Type,Bid1,"Leg2 Strike",Type,Ask2,BE,BE%,"Max Profit","Max Loss","Max Profit%",Risk/Reward,"IV Rank","Loss Prob"
WPM,157.78,2026-10-16,55,135.00,Put,2.9,120.00,Put,1.3,133.4,-15.45%,1.6,13.4,+11.94%,"8.38 to 1",76.67%,19.7%
AEM,216.06,2026-10-16,55,185.00,Put,3.9,160.00,Put,1.15,182.25,-15.65%,2.75,22.25,+12.36%,"8.09 to 1",76.43%,19.4%
AEM,216.06,2026-10-16,55,185.00,Put,3.9,170.00,Put,1.8,182.9,-15.35%,2.1,12.9,+16.28%,"6.14 to 1",76.43%,19.9%
AEM,216.06,2026-10-16,55,185.00,Put,3.9,165.00,Put,1.65,182.75,-15.42%,2.25,17.75,+12.68%,"7.89 to 1",76.43%,19.7%
GDX,102.83,2026-10-16,55,88.00,Put,1.92,84.00,Put,1.32,87.4,-15.01%,0.6,3.4,+17.65%,"5.67 to 1",72.28%,19.8%
GDX,102.83,2026-10-16,55,88.00,Put,1.92,83.00,Put,1.22,87.3,-15.10%,0.7,4.3,+16.28%,"6.14 to 1",72.28%,19.7%
GDX,102.83,2026-10-16,55,88.00,Put,1.92,82.00,Put,1.07,87.15,-15.25%,0.85,5.15,+16.50%,"6.06 to 1",72.28%,19.4%
GDX,102.83,2026-10-16,55,88.00,Put,1.92,81.00,Put,0.98,87.06,-15.34%,0.94,6.06,+15.51%,"6.45 to 1",72.28%,19.3%
GDX,102.83,2026-10-16,55,88.00,Put,1.92,80.00,Put,0.87,86.95,-15.44%,1.05,6.95,+15.11%,"6.62 to 1",72.28%,19.1%
GDX,102.83,2026-10-16,55,89.00,Put,2.11,77.00,Put,0.59,87.48,-14.93%,1.52,10.48,+14.50%,"6.89 to 1",72.28%,20.0%
GDX,102.83,2026-10-16,55,89.00,Put,2.11,75.00,Put,0.43,87.32,-15.08%,1.68,12.32,+13.64%,"7.33 to 1",72.28%,19.7%
GDX,102.83,2026-10-16,55,89.00,Put,2.11,74.00,Put,0.43,87.32,-15.08%,1.68,13.32,+12.61%,"7.93 to 1",72.28%,19.7%
GDX,102.83,2026-10-16,55,89.00,Put,2.11,73.00,Put,0.46,87.35,-15.05%,1.65,14.35,+11.50%,"8.70 to 1",72.28%,19.7%
GDX,102.83,2026-10-16,55,89.00,Put,2.11,72.00,Put,0.3,87.19,-15.21%,1.81,15.19,+11.92%,"8.39 to 1",72.28%,19.5%
FCX,76.66,2026-10-16,55,65.00,Put,1.6,60.00,Put,0.9,64.3,-16.12%,0.7,4.3,+16.28%,"6.14 to 1",68.83%,19.7%
AAPL,309.35,2026-10-16,55,285.00,Put,3.25,280.00,Put,2.67,284.42,-8.06%,0.58,4.42,+13.12%,"7.62 to 1",53.14%,19.4%
MRNA,145.13,2026-10-16,55,110.00,Put,4.5,85.00,Put,1.7,107.2,-26.14%,2.8,22.2,+12.61%,"7.93 to 1",51.46%,19.3%
