Symbol,Price~,"Exp Date",Type,Strike,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
DELL,560.025,2027-06-17,Put,550,279,"116.00 x 89","119.60 x 66",118.5,500,mid,5925000,507,95,68.45%,-0.3593819361,MLFT,ToOpen,"14:16:03 ET"
DELL,560.025,2026-12-18,Put,540,98,"63.85 x 91","66.85 x 125",65,500,mid,3250000,533,96,68.30%,-0.3821313131,MLFT,ToOpen,"14:16:03 ET"
DELL,559.23,2026-10-16,Call,550,35,"48.95 x 183","49.00 x 14",49,390,ask,1911000,1314,929,63.33%,0.57856954324642,AUTO,N/A,"11:15:52 ET"
DELL,560.15,2026-09-11,Call,487.5,0,"71.10 x 25","73.00 x 99",73,199,ask,1452700,224,222,133.78%,0.97902200533487,AUTO,N/A,"10:05:30 ET"
DELL,561.09,2026-10-16,Call,550,35,"50.55 x 8","51.90 x 21",50.88,250,mid,1272000,666,929,63.58%,0.58515312772707,AUTO,N/A,"10:12:11 ET"
DELL,552.06,2026-09-11,Put,577.5,0,"25.00 x 500","27.10 x 2",25,500,bid,1250000,500,0,57.70%,-0.9318709557,AUTO,SellToOpen,"09:54:32 ET"
DELL,561.09,2026-10-16,Call,550,35,"49.45 x 16","49.90 x 130",49.9,238,ask,1187600,666,929,63.58%,0.58515312772707,AUTO,N/A,"10:10:10 ET"
DELL,560.85,2026-12-18,Put,540,98,"63.50 x 44","65.10 x 30",65.1,150,ask,976500,684,96,67.63%,-0.3807126096,TLFT,N/A,"15:37:22 ET"
DELL,560.025,2026-10-02,Call,560,21,"31.50 x 97","33.75 x 9",32.63,225,mid,734100,740,123,60.02%,0.53373398831023,MLET,N/A,"14:16:18 ET"
DELL,560.025,2026-10-02,Call,560,21,"31.50 x 49","33.75 x 46",32.62,225,mid,733900,740,123,60.02%,0.53373398831023,MLET,N/A,"14:16:39 ET"
DELL,560.025,2026-10-02,Call,560,21,"31.50 x 97","33.75 x 13",32.61,225,mid,733700,740,123,60.02%,0.53373398831023,MLET,N/A,"14:16:03 ET"
DELL,564.34,2026-11-20,Call,550,70,"71.20 x 78","72.85 x 85",72.85,100,ask,728400,172,1810,66.54%,0.60032768192847,AUTO,N/A,"10:56:25 ET"
DELL,560.025,2026-10-02,Call,565,21,"29.15 x 95","31.65 x 22",30.41,225,mid,684200,724,3,60.15%,0.50924375070916,MLET,N/A,"14:16:03 ET"
DELL,560.025,2026-10-02,Call,565,21,"29.15 x 98","31.50 x 9",30.38,225,mid,683500,724,3,60.15%,0.50924375070916,MLET,N/A,"14:16:18 ET"
DELL,560.025,2026-10-02,Call,565,21,"29.25 x 22","31.50 x 20",30.37,225,mid,683300,724,3,60.15%,0.50924375070916,MLET,N/A,"14:16:39 ET"
