Symbol,Price~,"Exp Date",Type,Strike,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
GME,21.135,2026-09-18,Call,18,7,"3.00 x 617","3.15 x 14",3.08,1096,mid,337500,3210,2674,56.92%,0.98444843889941,MLET,N/A,"15:49:28 ET"
GME,21.135,2026-09-11,Call,18,0,"2.98 x 105","3.15 x 75",3.07,1096,mid,336400,3321,3482,400.60%,0.80917066283165,MLET,N/A,"15:49:28 ET"
GME,21.025,2026-12-18,Call,25,98,"1.00 x 17","1.05 x 20",1.05,2276,ask,238900,11206,15065,55.03%,0.30724964217679,MLET,N/A,"14:33:27 ET"
GME,21.025,2026-12-18,Call,21,98,"2.13 x 1","2.18 x 38",2.15,1038,mid,223100,5151,1178,51.42%,0.53821238639691,MLET,N/A,"14:33:27 ET"
GME,21.21,2026-12-18,Call,21,98,"2.18 x 326","2.44 x 1376",2.27,780,mid,177000,2399,1178,53.00%,0.55283853975569,MLET,N/A,"09:47:31 ET"
GME,21.21,2026-12-18,Call,25,98,"1.05 x 51","1.11 x 11",1.11,1560,ask,173100,4899,15065,55.19%,0.31905129428463,MLET,N/A,"09:47:31 ET"
GME,21.135,2026-09-18,Call,18,7,"3.00 x 617","3.15 x 14",3.08,520,mid,160100,3210,2674,56.92%,0.98444843889941,MLET,N/A,"15:49:28 ET"
GME,21.135,2026-09-11,Call,18,0,"2.98 x 118","3.15 x 186",3.07,520,mid,159600,3321,3482,400.60%,0.80917066283165,MLET,N/A,"15:49:28 ET"
GME,21.16,2028-12-15,Call,15,826,"9.15 x 739","10.35 x 686",9.74,150,mid,146100,190,1271,73.70%,0.74533146138224,MLET,N/A,"09:31:42 ET"
GME,21.08,2026-09-18,Call,19.5,7,"1.64 x 204","1.81 x 296",1.73,811,mid,140300,1448,2063,60.26%,0.83423464944583,MLAT,N/A,"15:53:15 ET"
GME,21.08,2026-09-11,Call,19.5,0,"1.61 x 24","1.80 x 561",1.68,811,mid,136200,3817,5805,100.35%,0.93579957654706,MLAT,N/A,"15:53:15 ET"
GME,21.1999,2027-03-19,Call,20,189,"3.60 x 13","3.65 x 5",3.6,369,bid,132800,575,4181,52.84%,0.61025674438665,AUTO,N/A,"09:49:09 ET"
GME,21.135,2026-09-18,Call,18,7,"3.00 x 617","3.15 x 14",3.11,398,mid,123700,3210,2674,56.92%,0.98444843889941,MLET,N/A,"15:49:28 ET"
GME,21.135,2026-09-11,Call,18,0,"2.98 x 131","3.15 x 75",3.1,398,mid,123300,3321,3482,400.60%,0.80917066283165,MLET,N/A,"15:49:28 ET"
GME,21.01,2026-09-18,Call,20,7,"1.12 x 65","1.18 x 78",1.15,1055,mid,121300,9780,16230,41.66%,0.80974141589232,MLET,N/A,"15:46:09 ET"
GME,20.995,2026-09-11,Call,19,0,"1.98 x 246","2.05 x 139",2,581,mid,116200,1352,4801,91.58%,0.98359594888204,MLAT,N/A,"14:23:02 ET"
GME,21.025,2026-12-18,Call,25,98,"1.00 x 17","1.05 x 20",1.04,1108,mid,115200,11206,15065,55.03%,0.30724964217679,MLET,N/A,"14:33:27 ET"
GME,21.21,2026-12-18,Call,20,98,"2.63 x 272","2.72 x 200",2.72,400,ask,108800,1648,10685,52.78%,0.62236611408357,AUTO,N/A,"09:46:10 ET"
GME,21.01,2026-09-11,Call,20,0,"0.99 x 2","1.05 x 191",1.02,1055,mid,107600,14234,16080,56.17%,0.95620179589368,MLET,N/A,"15:46:09 ET"
GME,21.21,2026-12-18,Call,21,98,"2.18 x 268","2.44 x 1366",2.27,456,mid,103500,2399,1178,53.00%,0.55283853975569,MLET,N/A,"09:47:31 ET"
GME,21.21,2026-12-18,Call,25,98,"1.05 x 53","1.17 x 222",1.11,912,mid,101200,4899,15065,55.19%,0.31905129428463,MLET,N/A,"09:47:31 ET"
GME,20.965,2026-12-18,Call,21,98,"2.02 x 138","2.15 x 43",2.11,471,mid,99300,3116,1178,51.13%,0.53353375681118,MLET,N/A,"11:33:36 ET"
GME,21.21,2026-12-18,Call,25,98,"1.00 x 111","1.07 x 2",1.06,930,mid,98500,4899,15065,55.19%,0.31905129428463,MLET,N/A,"09:45:02 ET"
GME,20.965,2026-12-18,Call,25,98,"1.00 x 10","1.06 x 56",1.03,942,mid,97000,6732,15065,55.53%,0.30612272925783,MLET,N/A,"11:33:36 ET"
GME,21.025,2026-12-18,Call,21,98,"2.13 x 1","2.18 x 38",2.13,454,bid,96700,5151,1178,51.42%,0.53821238639691,MLET,N/A,"14:33:27 ET"
GME,21.26,2026-10-30,Call,20,49,"2.00 x 1","2.10 x 141",2.07,450,mid,93100,5560,135,47.68%,0.65964575884533,SLAN,N/A,"14:50:03 ET"
GME,21.26,2026-10-30,Call,20,49,"2.07 x 450","2.15 x 578",2.07,450,bid,93100,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:49:46 ET"
GME,21.135,2026-09-18,Call,18,7,"3.00 x 617","3.15 x 14",3.08,298,mid,91700,3210,2674,56.92%,0.98444843889941,MLET,N/A,"15:49:28 ET"
GME,21.26,2026-10-30,Call,20,49,"2.06 x 443","2.07 x 266",2.07,443,ask,91700,5560,135,47.68%,0.65964575884533,AUTO,N/A,"14:51:28 ET"
GME,21.135,2026-09-11,Call,18,0,"2.99 x 321","3.15 x 74",3.07,298,mid,91400,3321,3482,400.60%,0.80917066283165,MLET,N/A,"15:49:28 ET"
