Symbol,Name,"Insider Name",Title,Transaction,Shares,@Price,"Trans Total","Shares After",Date
RSG,"Republic Services","American Shareholder",N/A,Buy,720804,221.4097,159592998,116477634,2026-09-09
HGTY,"Hagerty Inc","American Shareholder",N/A,"Transfer In",10637500,0,143499875,0,2026-09-11
HGTY,"Hagerty Inc","American Shareholder",N/A,Sell,10637500,11.472,122033400,0,2026-09-11
DELL,"Dell Technologies","Egon P Durban",N/A,"Transfer In",185802,0,99450521,1780520,2026-09-09
DELL,"Dell Technologies","Egon P Durban",N/A,Sell,131895,540.301,71263000,1780520,2026-09-09
NVDA,"Nvidia Corp","Nicholas Parker","VP of Ops",Award,172507,0,38584640,172507,2026-09-09
FTW,"Eqv Ventures Acquisition Corp Cl A","American Shareholder",N/A,"Transfer Out",3422260,0,36275957,0,2026-09-09
VG,"Venture Global Inc Cl A","Keith D Larson","Gen Cou","Sale Post-exercise",2350000,15.1818,35677230,0,2026-09-09
HNGE,"Hinge Health Inc Cl A","Daniel Antonio Perez",CEO,"Transfer In",295000,0,26036701,35470,2026-09-10
PBF,"PBF Energy Inc","American Shareholder",N/A,Sell,319270,77.7737,24830809,13866127,2026-09-10
GPI,"Group 1 Automotive","American Shareholder",N/A,Buy,84000,281.7752,23669117,1446640,2026-09-10
HNGE,"Hinge Health Inc Cl A","Daniel Antonio Perez",CEO,Sell,250000,89.4466,22361649,35470,2026-09-10
GME,"Gamestop Corp","Ryan Cohen","Chair & CEO",Buy,1000000,20.3759,20375900,39347842,2026-09-10
PTGX,"Protagonist Therapeutics Inc","Dinesh V Patel",CEO,"Sale Post-exercise",125000,145.9245,18240563,522968,2026-09-10
CG,"The Carlyle Group","David M Rubenstein",Co-Chair,Sell,400000,42.74,17096001,26899644,2026-09-11
SNOW,"Snowflake Cl A","Benoit Dageville","Div. Pres.",Sell,50000,335.72,16786001,4281718,2026-09-09
NTRA,"Natera Inc","Dr Matthew Rabinowitz",Chair,Sell,50000,327.9653,16398265,2227394,2026-09-11
ESTC,"Elastic N.V.","Shay Banon",CTO,Sell,155210,86.7117,13458522,5549748,2026-09-10
META,"META Platforms","Christopher K Cox",CPO,Sell,20000,650.2788,13005577,299562,2026-09-09
ACMR,"Acm Research Inc","Hui (David) Wang","Chair & CEO","Sale Post-exercise",140000,75.9287,10630018,1702711,2026-09-09
EQB-PR-C.TO,"Equitable Group Inc Pref Ser 3","American Shareholder",N/A,"Transfer Out",400000,25.3315,10132600,0,2026-09-09
UBER,"UBER Technologies","Dara Khosrowshahi",CEO,Buy,141000,70.9642,10005953,1367100,2026-09-10
LRCX,"Lam Research Corp","Timothy M Archer",CEO,"Sale Post-exercise",30000,319.26,9577800,1129662,2026-09-09
LASR,"Nlight Inc","Scott H Keeney","Chair & CEO",Sell,215252,41.1735,8862678,1960535,2026-09-09
CURB,"Curbline Properties Corp","Alexander Otto",N/A,Sell,254924,29.6683,7563162,6553258,2026-09-09
WBD,"Discovery Inc Series A","Amy Girdwood","Chf People Off",Sell,262285,27.98,7338734,539374,2026-09-09
LTH,"Life Time Group Holdings Inc","Ritadhwaja Jebens Singh",CDO,"Sale Post-exercise",173641,42.0043,7293668,138351,2026-09-11
SITM,"Sitime Corp","Rajesh Vashist","Chair & CEO",Sell,12000,603.47,7241640,408243,2026-09-09
BNTX,"Biontech Se ADR","Ugur Sahin",CEO,Sell,73000,98.5022,7190661,39926820,2026-09-09
MSFT,"Microsoft Corp","Bradford L Smith","V Chair & Pres","Given Away",14000,0,6883100,444716,2026-09-09
SE,"Sea Ltd ADR","Jingye (David) Chen",CPO,Sell,60000,108.4619,6507714,9216574,2026-09-10
HALO,"Halozyme Therapeutic","Dr Helen Torley",CEO,"Sale Post-exercise",60000,107.2785,6436710,767780,2026-09-11
KIDS,"Orthopediatrics Corp","David Pelizzon",N/A,Sell,302369,21.01,6352772,6246148,2026-09-10
VGNT,"Versigent Plc","Kevin P Clark",N/A,Sell,122722,46.5977,5718563,124849,2026-09-09
WBD,"Discovery Inc Series A","Kenneth W Lowe",N/A,Sell,200000,28.23,5646000,590901,2026-09-10
SBUX,"Starbucks Corp","Brian R Niccol","Chair & CEO","Sale Post-exercise*",56267,100.04,5628951,428697,2026-09-09
