Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,"%TP Ask","BE (Ask)","%BE (Ask)",Volume,"Open Int","IV Rank",IV,Delta,"Profit Prob"
NVDA,227.98,2026-09-18,22,210.00,Call,+7.89%,20.35,1.04%,230.35,1.04%,25315,69335,6.12%,32.59%,0.862087,47.67%
HNI,49.96,2026-09-18,22,40.00,Call,+19.94%,12,4.08%,52,4.08%,18000,5434,14.67%,63.25%,0.933581,58.09%
NVDA,227.98,2026-09-18,22,200.00,Call,+12.27%,29.5,0.67%,229.5,0.67%,5616,43662,6.12%,38.67%,0.925805,48.68%
NVDA,227.98,2026-09-18,22,195.00,Call,+14.47%,34.9,0.84%,229.9,0.84%,2815,81135,6.12%,36.15%,0.965868,51.24%
NVDA,227.98,2026-09-18,22,145.00,Call,+36.40%,88.5,2.42%,233.5,2.42%,1625,2873,6.12%,104.57%,0.97093,52.46%
NVDA,227.98,2026-09-18,22,205.00,Call,+10.08%,25,0.89%,230,0.89%,1349,20747,6.12%,31.73%,0.923069,49.96%
NVDA,227.98,2026-09-18,22,190.00,Call,+16.66%,40,0.89%,230,0.89%,1219,27832,6.12%,49.12%,0.943543,49.90%
NVDA,227.98,2026-09-18,22,175.00,Call,+23.24%,55,0.89%,230,0.89%,634,8759,6.12%,57.68%,0.974264,52.95%
NVDA,227.98,2026-09-18,22,180.00,Call,+21.05%,49,0.45%,229,0.45%,591,15303,6.12%,44.36%,0.987241,50.21%
S,22.71,2026-09-18,22,17.00,Call,+25.14%,6.2,2.16%,23.2,2.16%,582,1099,83.24%,45.09%,0.99643,56.54%
NVDA,227.98,2026-09-25,29,200.00,Call,+12.27%,29.95,0.86%,229.95,0.86%,542,500,6.12%,31.14%,0.94081,49.86%
NVDA,227.98,2026-09-25,29,195.00,Call,+14.47%,34.7,0.75%,229.7,0.75%,503,580,6.12%,39.82%,0.929038,48.57%
NVDA,227.98,2026-09-18,22,155.00,Call,+32.01%,75.1,0.93%,230.1,0.93%,452,5956,6.12%,89.51%,0.969301,51.50%
CRWD,227.96,2026-09-18,22,190.00,Call,+16.65%,40.15,0.96%,230.15,0.96%,393,920,52.49%,40.29%,0.972123,51.52%
NVDA,227.98,2026-09-18,22,207.50,Call,+8.98%,23.5,1.32%,231,1.32%,380,571,6.12%,35.36%,0.874705,49.36%
NVDA,227.98,2026-09-18,22,170.00,Call,+25.43%,58.95,0.43%,228.95,0.43%,344,8634,6.12%,40.61%,0.998435,51.55%
APA,42.38,2026-09-18,22,37.50,Call,+11.51%,5.45,1.34%,42.95,1.34%,301,2198,24.36%,45.22%,0.876667,49.41%
SMCI,38.46,2026-09-18,22,29.00,Call,+24.60%,9.95,1.27%,38.95,1.27%,274,2869,32.97%,39.62%,0.998524,53.85%
NVDA,227.98,2026-09-18,22,100.00,Call,+56.14%,131.55,1.57%,231.55,1.57%,273,2450,6.12%,137.84%,0.995205,51.92%
NVDA,227.98,2026-09-18,22,185.00,Call,+18.85%,43.95,0.43%,228.95,0.43%,268,10358,6.12%,54.35%,0.949954,50.50%
CNC,65.33,2026-09-18,22,52.50,Call,+19.64%,14.2,2.10%,66.7,2.10%,250,602,9.27%,63.90%,0.931383,51.87%
AAPL,314.58,2026-09-18,22,295.00,Call,+6.22%,22.3,0.86%,317.3,0.86%,198,12971,46.75%,26.77%,0.85088,46.69%
HOOD,109.76,2026-09-18,22,75.00,Call,+31.67%,35.5,0.67%,110.5,0.67%,193,2334,28.18%,102.28%,0.950621,51.76%
SHOP,154.33,2026-09-18,22,140.00,Call,+9.29%,16.45,1.37%,156.45,1.37%,179,47638,11.97%,39.67%,0.858122,47.96%
AAPL,314.58,2026-09-18,22,270.00,Call,+14.17%,46.65,0.66%,316.65,0.66%,177,6004,46.75%,30.21%,0.982958,51.25%
AAPL,314.58,2026-09-18,22,265.00,Call,+15.76%,52.5,0.93%,317.5,0.93%,149,6471,46.75%,41.83%,0.958925,50.96%
TSM,427.3,2026-09-18,22,400.00,Call,+6.39%,32.45,1.21%,432.45,1.21%,148,7968,18.44%,32.35%,0.813803,46.03%
NVDA,227.98,2026-09-18,22,150.00,Call,+34.20%,80,0.89%,230,0.89%,147,23630,6.12%,80.99%,0.986335,50.91%
ZETA,30.22,2026-09-18,22,25.00,Call,+17.27%,5.6,1.26%,30.6,1.26%,146,8613,22.93%,63.52%,0.90458,48.48%
NWL,5.88,2026-09-18,22,4.00,Call,+31.97%,2.2,5.44%,6.2,5.44%,143,803,5.08%,112.86%,0.936225,55.73%
NVDA,227.98,2026-09-18,22,90.00,Call,+60.52%,143.2,2.29%,233.2,2.29%,140,974,6.12%,193.78%,0.985675,51.36%
AMC,2.7,2026-09-18,22,2.00,Call,+25.93%,0.75,1.85%,2.75,1.85%,138,20695,29.52%,96.56%,0.915905,50.00%
VZ,49.43,2026-09-18,22,45.00,Call,+8.96%,4.75,0.65%,49.75,0.65%,137,16513,33.35%,33.17%,0.883998,49.31%
NVDA,227.98,2026-09-18,22,120.00,Call,+47.36%,113.45,2.40%,233.45,2.40%,126,2880,6.12%,141.82%,0.978195,51.84%
DSX,2.69,2026-09-18,22,2.00,Call,+25.65%,0.75,2.23%,2.75,2.23%,121,1631,5.57%,72.47%,0.960131,57.58%
NVDA,227.98,2026-09-18,22,160.00,Call,+29.82%,71.1,1.37%,231.1,1.37%,119,6599,6.12%,71.17%,0.982932,52.04%
NVDA,227.98,2026-09-18,22,165.00,Call,+27.63%,65.6,1.15%,230.6,1.15%,118,8059,6.12%,79.95%,0.960123,50.43%
HOOD,109.76,2026-09-18,22,90.00,Call,+18.00%,21.2,1.31%,111.2,1.31%,114,7929,28.18%,56.90%,0.934028,50.29%
SMCI,38.46,2026-09-18,22,30.00,Call,+22.00%,9,1.40%,39,1.40%,109,8904,32.97%,71.04%,0.936277,50.06%
ABNB,184.4,2026-09-18,22,170.00,Call,+7.81%,16.9,1.36%,186.9,1.36%,107,1470,13.83%,34.24%,0.849794,48.07%
NVDA,227.98,2026-09-18,22,130.00,Call,+42.98%,101.65,1.61%,231.65,1.61%,107,3876,6.12%,117.22%,0.981977,52.16%
GM,86.18,2026-09-18,22,80.00,Call,+7.17%,7.3,1.30%,87.3,1.30%,106,3477,28.41%,33.69%,0.831455,47.38%
V,379.66,2026-09-18,22,350.00,Call,+7.81%,31.85,0.58%,381.85,0.58%,105,1902,23.15%,23.94%,0.925145,49.04%
ROKU,156.25,2026-09-18,22,115.00,Call,+26.40%,43.75,1.60%,158.75,1.60%,103,627,4.12%,73.31%,0.964479,51.64%
PESI,19.3,2026-09-18,22,7.50,Call,+61.14%,12,1.04%,19.5,1.04%,100,1890,48.38%,140.01%,0.998291,51.21%
"Downloaded from Barchart.com as of 08-28-2026 08:41am CDT"
