Symbol,Price~,"Exp Date",DTE,Strike,Type,Moneyness,Ask,"%TP Ask","BE (Ask)","%BE (Ask)",Volume,"Open Int","IV Rank",IV,Delta,"Profit Prob"
MRVL,240.38,2026-09-18,24,155.00,Call,+35.52%,88,1.09%,243,1.09%,501,2285,53.34%,101.87%,0.965504,50.02%
HNGE,89.87,2026-09-18,24,75.00,Call,+16.55%,16.4,1.70%,91.4,1.70%,472,580,9.47%,22.90%,0.999181,59.58%
AMC,2.65,2026-09-18,24,2.00,Call,+24.53%,0.7,1.89%,2.7,1.89%,259,20767,31.98%,88.61%,0.91077,50.00%
ACHV,8.17,2026-09-18,24,5.00,Call,+38.80%,4.1,11.38%,9.1,11.38%,248,1435,4.05%,89.29%,0.988377,84.91%
AMZN,261.06,2026-09-18,24,240.00,Call,+8.07%,23.6,0.97%,263.6,0.97%,193,8961,23.00%,32.36%,0.860804,46.72%
WDAY,194.42,2026-09-18,24,155.00,Call,+20.28%,43.2,1.94%,198.2,1.94%,157,867,55.76%,69.00%,0.91663,50.26%
TGT,163.47,2026-09-18,24,150.00,Call,+8.24%,15,0.94%,165,0.94%,144,3185,3.95%,33.15%,0.854119,47.91%
UNP,309.59,2026-09-18,24,290.00,Call,+6.33%,22.9,1.07%,312.9,1.07%,139,4029,26.85%,23.52%,0.870635,50.41%
PYPL,62.27,2026-09-18,24,50.00,Call,+19.70%,12.85,0.93%,62.85,0.93%,131,7893,17.86%,55.07%,0.948666,50.09%
OXY,58.41,2026-09-18,24,47.50,Call,+18.68%,13.2,3.92%,60.7,3.92%,130,2328,35.71%,65.01%,0.90738,55.41%
SKM,39.66,2026-09-18,24,30.00,Call,+24.36%,10.1,1.11%,40.1,1.11%,111,3732,9.67%,72.09%,0.944642,50.33%
"Downloaded from Barchart.com as of 08-25-2026 06:58pm CDT"
