Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
QQQ,717.42,2026-09-03,0,Put,712.00,-0.59%,0.21,0.22,0.22,208009,721,288.5,18.04%,11.58%,-0.10412,"11:46 ET"
SPY,772.75,2026-09-03,0,Put,768.00,-0.51%,0.12,0.12,0.13,334685,1235,271,12.51%,8.65%,-0.079384,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,711.00,-0.73%,0.16,0.16,0.17,168332,720,233.79,18.04%,12.27%,-0.079499,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,714.00,-0.32%,0.4,0.4,0.41,93355,417,223.87,18.04%,10.41%,-0.18942,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,717.00,+0.10%,1.18,1.18,1.19,52177,237,220.16,18.04%,9.24%,-0.453889,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,713.00,-0.46%,0.28,0.29,0.29,161711,991,163.18,18.04%,10.89%,-0.137982,"11:46 ET"
SPY,772.75,2026-09-03,0,Put,771.00,-0.12%,0.43,0.43,0.44,135346,864,156.65,12.51%,7.08%,-0.254618,"11:46 ET"
SPY,772.75,2026-09-03,0,Put,769.00,-0.38%,0.18,0.19,0.19,265588,1752,151.59,12.51%,8.11%,-0.116165,"11:46 ET"
SPY,772.75,2026-09-03,0,Put,770.00,-0.25%,0.27,0.28,0.28,195755,1518,128.96,12.51%,7.53%,-0.170085,"11:46 ET"
SPY,772.75,2026-09-03,0,Put,767.00,-0.64%,0.09,0.1,0.1,226863,1800,126.04,12.51%,9.39%,-0.058649,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,716.00,-0.04%,0.82,0.82,0.83,67790,553,122.59,18.04%,9.53%,-0.346273,"11:46 ET"
SPY,772.75,2026-09-03,0,Call,769.00,+0.38%,3.93,3.95,3.96,338409,2883,117.38,12.51%,6.31%,0.937718,"11:46 ET"
SPY,772.75,2026-09-03,0,Put,772.00,+0.01%,0.7,0.71,0.71,105429,913,115.48,12.51%,6.78%,-0.37421,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,714.00,+0.32%,3.61,3.61,3.67,210069,2495,84.2,18.04%,8.62%,0.856248,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,713.00,+0.46%,4.48,4.5,4.55,246456,3261,75.58,18.04%,8.41%,0.920858,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,715.00,-0.18%,0.57,0.57,0.58,96958,1333,72.74,18.04%,9.93%,-0.257527,"11:46 ET"
EWZ,38.17,2026-09-04,1,Put,38.00,-0.68%,0.23,0.25,0.25,8536,122,69.97,35.62%,39.13%,-0.417488,"11:44 ET"
SPY,772.75,2026-09-03,0,Call,773.00,-0.13%,0.87,0.87,0.88,278786,4274,65.23,12.51%,5.84%,0.479669,"11:46 ET"
SPY,772.75,2026-09-03,0,Call,770.00,+0.25%,3.02,3.05,3.05,445823,8005,55.69,12.51%,6.28%,0.873885,"11:46 ET"
QQQ,717.42,2026-09-03,0,Put,718.00,+0.24%,1.68,1.7,1.7,22357,420,53.23,18.04%,9.18%,-0.570279,"11:46 ET"
IWM,295.06,2026-10-16,43,Put,281.00,-4.71%,2.65,2.7,2.69,41077,786,52.26,17.14%,20.40%,-0.218512,"11:42 ET"
SPY,772.75,2026-09-03,0,Call,774.00,-0.26%,0.46,0.47,0.47,172066,3352,51.33,12.51%,5.74%,0.31358,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,712.00,+0.59%,5.38,5.46,5.49,188000,3896,48.25,18.04%,7.70%,0.970688,"11:45 ET"
SPY,772.75,2026-09-03,0,Call,772.00,-0.01%,1.45,1.46,1.46,307969,6443,47.8,12.51%,5.95%,0.643765,"11:46 ET"
SPY,772.75,2026-09-03,0,Call,771.00,+0.12%,2.16,2.17,2.19,338090,7815,43.26,12.51%,5.99%,0.783171,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,718.00,-0.24%,0.91,0.93,0.92,90821,2367,38.37,18.04%,8.00%,0.421481,"11:46 ET"
SQQQ,38.37,2026-09-11,8,Put,37.50,-2.77%,0.62,0.63,0.65,4801,128,37.51,53.87%,45.94%,-0.348706,"11:45 ET"
GDX,101.01,2026-09-11,8,Call,106.00,-4.88%,0.9,0.95,1,5080,146,34.79,45.05%,44.27%,0.248631,"11:41 ET"
QQQ,717.42,2026-09-03,0,Put,710.00,-0.87%,0.12,0.13,0.13,145154,4270,33.99,18.04%,12.88%,-0.06027,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,717.00,-0.10%,1.41,1.42,1.42,104208,3145,33.13,18.04%,8.09%,0.55399,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,716.00,+0.04%,2.05,2.07,2.07,133635,4102,32.58,18.04%,8.31%,0.675725,"11:46 ET"
SPY,772.75,2026-09-09,6,Put,769.00,-0.38%,2.15,2.16,2.17,10162,370,27.46,12.51%,9.84%,-0.333993,"11:45 ET"
QQQ,717.42,2026-09-03,0,Call,719.00,-0.38%,0.56,0.57,0.57,54873,2056,26.69,18.04%,8.05%,0.298151,"11:46 ET"
QQQ,717.42,2026-09-08,5,Put,712.00,-0.59%,2.32,2.31,2.34,6360,246,25.85,18.04%,13.81%,-0.310647,"11:45 ET"
IWM,295.06,2026-09-03,0,Call,295.00,-0.03%,0.5,0.51,0.51,76804,3042,25.25,17.14%,6.67%,0.570799,"11:46 ET"
GDX,101.01,2026-09-11,8,Call,102.00,-0.92%,2.19,2.25,2.33,5357,213,25.15,45.05%,44.28%,0.46342,"11:42 ET"
SPY,772.75,2026-09-04,1,Put,769.00,-0.38%,0.98,0.98,0.99,34798,1397,24.91,12.51%,15.22%,-0.262897,"11:46 ET"
GLD,412.6,2026-09-03,0,Call,411.00,+0.59%,1.04,1.13,1.25,6057,251,24.13,24.88%,7.59%,0.696389,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,711.00,+0.73%,6.31,6.44,6.45,86410,3589,24.08,18.04%,9.09%,0.971228,"11:45 ET"
QQQ,717.42,2026-09-03,0,Put,719.00,+0.38%,2.32,2.35,2.35,4876,217,22.47,18.04%,9.31%,-0.678901,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,715.00,+0.18%,2.78,2.76,2.82,210130,9395,22.37,18.04%,8.40%,0.779535,"11:46 ET"
GLD,412.6,2026-09-03,0,Put,411.00,-0.59%,0.41,0.41,0.47,4915,241,20.39,24.88%,9.20%,-0.336746,"11:46 ET"
SOXL,105.52,2026-09-04,1,Call,102.00,+2.45%,4.55,4.75,5,2173,108,20.12,104.35%,122.42%,0.712824,"11:42 ET"
SPY,772.75,2026-09-03,0,Call,768.00,+0.51%,4.83,4.96,4.94,142461,7081,20.12,12.51%,5.36%,0.988493,"11:46 ET"
GLD,412.6,2026-09-03,0,Put,410.00,-0.84%,0.19,0.2,0.21,2952,147,20.08,24.88%,9.44%,-0.181798,"11:46 ET"
SPY,772.75,2026-09-08,5,Put,768.00,-0.51%,1.45,1.45,1.47,6420,325,19.75,12.51%,9.50%,-0.275092,"11:46 ET"
SPY,772.75,2026-09-03,0,Call,776.00,-0.52%,0.11,0.12,0.12,70336,3651,19.26,12.51%,6.05%,0.100096,"11:46 ET"
ARKK,86.65,2026-12-18,106,Put,60.00,-30.46%,0.47,0.51,0.55,2290,119,19.24,35.52%,46.43%,-0.050937,"11:43 ET"
QQQ,717.42,2026-09-03,0,Put,709.00,-1.01%,0.1,0.1,0.11,91631,4779,19.17,18.04%,13.73%,-0.049091,"11:46 ET"
IWM,295.06,2026-09-03,0,Put,295.00,+0.03%,0.34,0.36,0.36,25754,1367,18.84,17.14%,7.09%,-0.434593,"11:46 ET"
GLD,412.6,2026-09-03,0,Call,412.00,+0.35%,0.55,0.6,0.66,3306,180,18.37,24.88%,8.04%,0.461566,"11:46 ET"
SPY,772.75,2026-09-03,0,Call,775.00,-0.39%,0.23,0.24,0.24,123805,6822,18.15,12.51%,5.85%,0.183754,"11:46 ET"
IWM,295.06,2026-09-03,0,Call,296.00,-0.37%,0.12,0.13,0.13,56310,3183,17.69,17.14%,6.71%,0.213856,"11:46 ET"
QQQ,717.42,2026-09-04,1,Put,712.50,-0.52%,1.4,1.42,1.41,12555,750,16.74,18.04%,22.04%,-0.274431,"11:45 ET"
GLD,412.6,2026-09-03,0,Call,414.00,-0.13%,0.13,0.14,0.16,2557,155,16.5,24.88%,9.40%,0.141474,"11:46 ET"
EWY,178.93,2026-09-11,8,Call,195.00,-9.18%,0.22,0.29,0.49,2053,127,16.17,41.01%,39.81%,0.076585,"11:39 ET"
IWM,295.06,2026-10-16,43,Put,288.00,-2.34%,4.22,4.31,4.28,15065,999,15.08,17.14%,19.02%,-0.326494,"11:42 ET"
QQQ,717.42,2026-09-08,5,Put,713.00,-0.46%,2.59,2.66,2.61,2905,194,14.97,18.04%,13.61%,-0.339937,"11:44 ET"
IWM,295.06,2026-09-03,0,Call,294.00,+0.31%,1.26,1.26,1.29,33131,2318,14.29,17.14%,7.60%,0.845324,"11:46 ET"
QQQ,717.42,2026-09-03,0,Call,721.00,-0.66%,0.19,0.2,0.2,17623,1246,14.14,18.04%,8.38%,0.125794,"11:46 ET"
KWEB,25.52,2026-10-16,43,Call,26.00,-1.96%,0.78,0.78,0.82,10551,751,14.05,26.36%,27.77%,0.457742,"11:32 ET"
SPY,772.75,2026-10-16,43,Put,470.00,-39.12%,0.1,0.11,0.11,4000,286,13.99,12.51%,53.36%,-0.002375,"10:41 ET"
SOXL,105.52,2026-09-11,8,Call,105.00,-0.42%,6,6.2,6.25,4498,326,13.8,104.35%,93.79%,0.543818,"11:46 ET"
