Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
GOOGL,329.42,2026-09-09,0,Call,330.00,-0.17%,1.08,1.1,1.13,6444,183,35.21,30.58%,22.63%,0.402424,"10:00 ET"
META,650.4,2026-09-09,0,Put,645.00,-0.60%,3.6,3.74,3.8,3910,133,29.4,39.57%,34.71%,-0.427165,"10:00 ET"
META,650.4,2026-09-09,0,Call,675.00,-4.03%,0.09,0.11,0.13,4042,227,17.81,39.57%,40.22%,0.022026,"10:00 ET"
META,650.4,2026-10-02,23,Call,670.00,-3.25%,16.25,16.25,17.1,4214,257,16.4,39.57%,39.60%,0.389279,"10:00 ET"
TSLA,372.13,2026-09-09,0,Call,377.50,-1.68%,0.78,0.79,0.8,40502,2647,15.3,42.90%,36.95%,0.200211,"10:00 ET"
META,650.4,2026-09-09,0,Call,665.00,-2.48%,0.36,0.39,0.4,3745,246,15.22,39.57%,35.77%,0.071638,"10:00 ET"
AMD,522.79,2026-09-09,0,Put,515.00,-1.45%,1.11,1.2,1.22,2080,145,14.34,54.05%,39.82%,-0.192553,"10:00 ET"
META,650.4,2026-09-09,0,Call,655.00,-0.94%,1.59,1.63,1.67,8070,563,14.33,39.57%,33.66%,0.245047,"10:00 ET"
TSLA,372.13,2026-09-09,0,Call,375.00,-1.01%,1.32,1.34,1.35,74944,6122,12.24,42.90%,35.88%,0.304994,"10:00 ET"
GOOGL,329.42,2026-09-09,0,Call,335.00,-1.69%,0.18,0.18,0.19,8781,719,12.21,30.58%,25.81%,0.090743,"10:00 ET"
META,650.4,2026-09-09,0,Call,667.50,-2.87%,0.25,0.28,0.27,1626,134,12.13,39.57%,36.42%,0.050989,"10:00 ET"
AMD,522.79,2026-09-09,0,Call,525.00,-0.46%,3.8,3.93,3.95,12070,1018,11.86,54.05%,39.07%,0.475269,"10:00 ET"
META,650.4,2026-09-09,0,Put,625.00,-3.68%,0.19,0.22,0.24,4624,410,11.28,39.57%,38.50%,-0.040722,"10:00 ET"
META,650.4,2026-09-09,0,Call,660.00,-1.71%,0.76,0.8,0.83,12736,1156,11.02,39.57%,34.51%,0.13635,"10:00 ET"
AMD,522.79,2026-09-09,0,Call,527.50,-0.94%,2.8,2.85,2.85,4932,470,10.49,54.05%,39.10%,0.383669,"10:00 ET"
META,650.4,2026-09-09,0,Call,670.00,-3.25%,0.19,0.19,0.22,6118,591,10.35,39.57%,38.09%,0.039927,"10:00 ET"
LMND,48.96,2026-09-11,2,Call,52.00,-6.36%,0.05,0.15,0.3,1179,114,10.34,61.96%,84.58%,0.12078,"09:57 ET"
TSLA,372.13,2026-09-09,0,Put,372.50,+0.33%,3.15,3.29,3.25,11394,1127,10.11,42.90%,33.76%,-0.56482,"10:00 ET"
TYRA,19.58,2026-09-18,9,Put,20.00,+2.30%,1.15,1.3,1.55,2013,210,9.59,101.58%,104.59%,-0.478317,"09:53 ET"
AMD,522.79,2026-09-09,0,Call,522.50,+0.02%,5.05,5.2,5.3,5454,576,9.47,54.05%,39.21%,0.568508,"10:00 ET"
CRWV,99.64,2026-10-09,30,Put,83.00,-16.74%,2.7,3,2.76,1002,109,9.19,82.54%,84.75%,-0.183087,"09:41 ET"
META,650.4,2026-09-09,0,Put,620.00,-4.45%,0.1,0.12,0.13,3479,388,8.97,39.57%,41.08%,-0.022202,"10:00 ET"
GOOGL,329.42,2026-09-14,5,Put,320.00,-2.87%,1.1,1.13,1.25,1528,171,8.94,30.58%,28.22%,-0.192732,"09:59 ET"
XNDU,9.47,2026-10-16,37,Call,10.00,-6.72%,0.75,0.85,0.85,1338,152,8.8,86.63%,84.12%,0.475548,"09:54 ET"
GAU,2.28,2027-02-19,163,Put,2.50,+9.65%,0.45,0.47,0.5,1285,157,8.18,72.53%,58.45%,-0.513565,"09:45 ET"
INTC,104.22,2026-09-11,2,Call,113.00,-8.59%,0.52,0.53,0.53,6251,795,7.86,65.89%,88.87%,0.150457,"10:00 ET"
META,650.4,2026-09-09,0,Call,650.00,-0.17%,3.1,3.12,3.15,21256,2767,7.68,39.57%,33.09%,0.398723,"10:00 ET"
META,650.4,2026-09-09,0,Call,647.50,+0.21%,4.1,4.1,4.3,6488,853,7.61,39.57%,32.98%,0.48697,"10:00 ET"
META,650.4,2026-09-09,0,Call,657.50,-1.33%,1.12,1.15,1.19,3789,512,7.4,39.57%,34.15%,0.185478,"10:00 ET"
AMD,522.79,2026-09-09,0,Call,530.00,-1.42%,2,2.01,2.01,14520,2044,7.1,54.05%,39.23%,0.299167,"10:00 ET"
SHOE,13.28,2026-10-16,37,Put,12.50,-7.34%,0.7,1.01,1.3,970,138,7.03,106.43%,84.42%,-0.35234,"09:59 ET"
TSLA,372.13,2026-09-09,0,Call,382.50,-3.03%,0.26,0.26,0.27,20253,2911,6.96,42.90%,39.62%,0.077519,"10:00 ET"
META,650.4,2026-09-11,2,Put,630.00,-2.91%,3.2,3.65,3.3,1422,208,6.84,39.57%,50.04%,-0.229283,"09:59 ET"
CRWV,99.64,2026-10-09,30,Put,80.00,-19.75%,2.07,2.18,2.14,1047,156,6.71,82.54%,85.76%,-0.147828,"09:56 ET"
TSLA,372.13,2026-09-09,0,Call,372.50,-0.33%,2.17,2.18,2.21,33761,5110,6.61,42.90%,35.16%,0.438499,"10:00 ET"
META,650.4,2026-09-11,2,Call,680.00,-4.80%,1.45,1.53,1.52,4206,638,6.59,39.57%,55.27%,0.116687,"10:00 ET"
CRWV,99.64,2026-10-02,23,Put,84.00,-15.74%,2.17,2.52,2.24,1009,159,6.35,82.54%,84.86%,-0.17379,"09:42 ET"
TSLA,372.13,2026-09-09,0,Put,370.00,-0.34%,1.97,1.97,1.98,19714,3156,6.25,42.90%,33.95%,-0.412925,"10:00 ET"
AMD,522.79,2026-09-09,0,Call,520.00,+0.50%,6.55,6.75,6.9,12658,2115,5.98,54.05%,39.56%,0.657113,"10:00 ET"
TSLA,372.13,2026-09-09,0,Call,380.00,-2.35%,0.44,0.44,0.45,73634,12328,5.97,42.90%,37.86%,0.123919,"10:00 ET"
BE,276.93,2026-10-02,23,Call,275.00,+0.59%,26.3,26.7,28.1,1062,181,5.87,87.14%,91.43%,0.569513,"09:59 ET"
C,136.18,2026-09-25,16,Put,125.00,-8.17%,0.35,0.42,0.47,1502,257,5.84,31.63%,31.78%,-0.094187,"09:50 ET"
AMZN,253.06,2026-09-11,2,Call,247.50,+2.18%,5.8,5.96,6.15,2239,389,5.76,31.76%,41.38%,0.736351,"10:00 ET"
CRML,7.24,2026-09-25,16,Put,6.50,-10.10%,0.25,0.3,0.35,961,169,5.69,106.54%,104.74%,-0.273813,"09:53 ET"
META,650.4,2026-09-09,0,Put,622.50,-4.07%,0.14,0.16,0.21,1864,330,5.65,39.57%,40.56%,-0.032508,"09:59 ET"
AMD,522.79,2026-09-09,0,Call,517.50,+0.98%,8.2,8.4,8.6,5094,910,5.6,54.05%,38.95%,0.741732,"10:00 ET"
QXO,13,2027-01-15,128,Call,14.00,-7.86%,1.55,1.65,1.7,697,130,5.36,60.65%,64.37%,0.509365,"09:58 ET"
META,650.4,2026-09-11,2,Call,700.00,-7.88%,0.44,0.48,0.48,7205,1378,5.23,39.57%,59.97%,0.040252,"10:00 ET"
META,650.4,2026-09-11,2,Call,647.50,+0.21%,9.3,9.2,9.5,2202,433,5.09,39.57%,50.22%,0.500811,"10:00 ET"
