Symbol,Price~,"Exp Date",Type,Strike,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
UBER,71.65,2028-06-16,Call,75,644,"16.60 x 137","17.15 x 134",16.9,1000,mid,1690000,1007,629,43.12%,0.62991848709514,MLAT,ToOpen,"15:08:17 ET"
UBER,71.65,2028-06-16,Call,77.5,644,"15.65 x 72","16.20 x 207",15.9,1000,mid,1590000,1000,25,43.02%,0.60785486442245,MLAT,ToOpen,"15:08:17 ET"
UBER,71.7399,2026-12-18,Call,75,98,"4.75 x 999","4.85 x 384",4.75,999,bid,474500,1150,5340,39.08%,0.47322404971039,AUTO,N/A,"15:05:42 ET"
UBER,71.68,2026-10-16,Call,85,35,"0.26 x 23","0.29 x 47",0.27,10000,mid,270000,10995,15007,36.28%,0.076460829723072,SLCN,N/A,"15:48:03 ET"
UBER,72.11,2027-01-15,Call,75,126,"5.55 x 857","5.85 x 130",5.82,450,mid,261900,962,9447,39.11%,0.50067522742132,SLAN,N/A,"09:59:28 ET"
UBER,72.11,2027-01-15,Call,75,126,"5.55 x 369","5.90 x 637",5.9,440,ask,259600,962,9447,39.11%,0.50067522742132,AUTO,N/A,"10:00:28 ET"
UBER,71.78,2026-09-11,Call,71,0,"0.89 x 273","1.11 x 1",1.12,2316,ask,259300,2750,1451,28.77%,0.77185934741522,AUTO,BuyToOpen,"10:20:08 ET"
UBER,71.715,2027-01-15,Call,75,126,"5.60 x 450","5.75 x 243",5.6,450,bid,252000,2044,9447,38.79%,0.4903068647057,AUTO,N/A,"13:53:30 ET"
UBER,71.715,2027-01-15,Call,75,126,"5.40 x 289","5.50 x 350",5.5,350,ask,192500,2044,9447,38.79%,0.4903068647057,AUTO,N/A,"13:56:15 ET"
UBER,71.9922,2027-03-19,Call,77.5,189,"6.70 x 101","6.95 x 268",6.7,265,bid,177500,275,567,40.27%,0.4847576888796,AUTO,N/A,"09:48:48 ET"
UBER,71.165,2027-03-19,Call,50,189,"23.50 x 75","24.20 x 1308",23.5,75,bid,176200,171,3496,46.64%,0.8999260626496,AUTO,N/A,"10:59:09 ET"
UBER,71.8,2027-09-17,Call,75,371,"11.95 x 2","12.20 x 592",12,100,mid,120000,114,249,42.02%,0.58172390315524,AUTO,N/A,"13:52:12 ET"
UBER,71.65,2026-12-18,Call,50,98,"22.55 x 10","23.10 x 510",23.1,50,ask,115500,50,675,42.85%,0.96230476863364,AUTO,N/A,"15:08:02 ET"
UBER,71.32,2026-10-30,Put,80,49,"9.00 x 26","10.70 x 4",9.6,100,mid,96000,100,0,41.40%,-0.7502173782,AUTO,ToOpen,"11:49:24 ET"
UBER,71.68,2026-09-18,Put,75,7,"3.40 x 180","3.45 x 124",3.45,249,ask,85900,549,11311,28.82%,-0.8684257299,AUTO,N/A,"15:48:10 ET"
UBER,71.935,2027-01-15,Call,80,126,"3.90 x 200","4.05 x 654",3.9,200,bid,78000,298,14422,38.64%,0.38360747923203,AUTO,N/A,"09:54:16 ET"
UBER,71.64,2026-10-16,Put,72.5,35,"3.25 x 233","3.40 x 88",3.35,200,mid,67000,414,10630,33.41%,-0.5158032908,SLAN,N/A,"13:29:42 ET"
UBER,72.245,2027-01-15,Call,62.5,126,"13.00 x 45","14.15 x 1390",13,45,bid,58500,91,360,38.93%,0.78988109012218,AUTO,N/A,"10:05:07 ET"
UBER,72.245,2027-01-15,Call,62.5,126,"12.95 x 45","14.10 x 1829",12.95,45,bid,58200,91,360,38.93%,0.78988109012218,AUTO,N/A,"10:05:49 ET"
UBER,71.49,2026-09-18,Call,75,7,"0.35 x 12","0.39 x 112",0.36,1500,mid,54000,3884,12568,35.78%,0.17654982541995,AUTO,N/A,"14:10:48 ET"
UBER,71.725,2026-10-23,Call,80,42,"0.96 x 500","1.02 x 48",0.96,500,bid,48000,3011,660,35.54%,0.20893221507219,AUTO,N/A,"12:58:37 ET"
UBER,71.3749,2027-06-17,Call,70,279,"11.95 x 24","12.35 x 1132",11.95,40,bid,47800,170,1986,41.26%,0.62507970301594,AUTO,N/A,"11:06:45 ET"
UBER,72.7,2026-10-16,Call,67.5,35,"6.15 x 10","6.90 x 183",6.5,65,mid,42200,65,333,36.27%,0.77299873522415,AUTO,N/A,"09:30:05 ET"
UBER,71.18,2027-03-19,Call,85,189,"4.00 x 348","4.20 x 17",4.2,100,ask,42000,262,1476,40.20%,0.34550656084104,SLFT,N/A,"10:39:11 ET"
UBER,71.18,2027-06-17,Call,80,279,"7.60 x 287","7.80 x 1",7.6,54,bid,41000,146,5304,41.00%,0.47544907462741,AUTO,N/A,"10:41:54 ET"
UBER,71.68,2026-10-16,Put,80,35,"8.80 x 98","8.90 x 45",8.9,45,ask,40000,95,1186,34.20%,-0.8395544076,AUTO,N/A,"12:27:50 ET"
UBER,71.89,2027-01-15,Put,70,126,"4.90 x 205","5.00 x 80",5,80,ask,40000,127,13382,38.49%,-0.3921785066,AUTO,N/A,"10:11:02 ET"
UBER,71.68,2027-01-15,Put,72.5,126,"6.30 x 106","6.35 x 59",6.35,59,ask,37400,69,6718,37.65%,-0.4608506094,AUTO,N/A,"12:29:31 ET"
UBER,71.525,2027-03-19,Call,75,189,"7.30 x 1","7.50 x 661",7.38,50,mid,36900,195,1627,40.19%,0.52073188960063,SLAN,N/A,"12:18:09 ET"
UBER,71.64,2026-09-18,Call,65,7,"6.55 x 401","6.95 x 433",6.8,50,mid,34000,75,1302,40.78%,0.96102947974877,SLFT,N/A,"13:29:24 ET"
UBER,71.32,2027-01-15,Call,75,126,"5.25 x 30","5.30 x 64",5.3,64,ask,33900,1207,9447,38.74%,0.48050300996704,AUTO,N/A,"11:48:41 ET"
UBER,71.725,2027-12-17,Call,100,462,"6.35 x 50","6.60 x 365",6.35,50,bid,31700,112,2350,41.21%,0.35410386744646,AUTO,N/A,"12:58:38 ET"
UBER,72.225,2026-12-18,Put,70,98,"4.15 x 10","4.55 x 1114",4.15,75,bid,31100,79,4649,39.09%,-0.3844157299,AUTO,N/A,"09:37:26 ET"
UBER,72.245,2026-11-20,Call,75,70,"4.00 x 116","4.15 x 2592",4.15,71,ask,29400,142,3529,40.13%,0.46626465200425,AUTO,N/A,"10:06:54 ET"
UBER,71.735,2026-10-16,Put,72.5,35,"3.30 x 230","3.40 x 126",3.35,86,mid,28800,822,10630,34.24%,-0.5092753458,AUTO,N/A,"15:40:18 ET"
UBER,71.3749,2026-09-25,Put,76,14,"5.00 x 80","5.35 x 85",5.12,55,mid,28100,57,142,38.15%,-0.7878410042,MLET,N/A,"11:06:40 ET"
UBER,71.8892,2026-10-23,Call,80,42,"0.97 x 1","0.99 x 275",0.99,275,ask,27200,3376,660,35.75%,0.21601897679651,AUTO,N/A,"13:45:09 ET"
UBER,71.625,2026-10-30,Put,75,49,"5.15 x 95","5.95 x 23",5.54,49,mid,27100,50,1,35.75%,-0.6044115786,MLAT,ToOpen,"15:14:12 ET"
UBER,71.4599,2026-11-20,Call,75,70,"3.70 x 73","3.75 x 127",3.7,73,bid,27000,359,3529,39.97%,0.44114375387362,AUTO,N/A,"11:55:38 ET"
UBER,72.7,2026-11-20,Put,67.5,70,"2.61 x 5","2.62 x 102",2.62,102,ask,26700,117,4107,40.55%,-0.2946754206,AUTO,N/A,"09:30:05 ET"
UBER,71.335,2027-01-15,Call,75,126,"5.15 x 376","5.40 x 461",5.27,50,mid,26300,1084,9447,38.69%,0.48074880125785,SLAN,N/A,"10:49:40 ET"
UBER,71.65,2026-11-20,Call,85,70,"1.24 x 125","1.33 x 45",1.3,200,mid,26000,485,3695,39.71%,0.19636523352448,AUTO,N/A,"15:07:50 ET"
UBER,71.3749,2026-09-11,Put,76,0,"4.50 x 434","4.85 x 101",4.72,55,mid,25900,66,1473,72.43%,-0.9508699601,MLET,N/A,"11:06:40 ET"
UBER,71.725,2027-03-19,Call,100,189,"1.77 x 115","1.95 x 336",1.77,138,bid,24400,1153,3199,40.70%,0.17935431171683,AUTO,N/A,"13:00:30 ET"
UBER,71.625,2026-10-30,Put,74,49,"4.55 x 75","5.30 x 16",4.92,49,mid,24100,50,0,35.81%,-0.5634487031,MLAT,ToOpen,"15:14:12 ET"
UBER,71.32,2026-09-25,Put,77,14,"4.95 x 961","5.90 x 40",5.9,40,ask,23600,43,203,38.81%,-0.8341707978,AUTO,N/A,"10:56:36 ET"
UBER,71.89,2026-09-18,Call,73,7,"1.00 x 32","1.05 x 24",1,234,bid,23400,571,879,36.60%,0.39616353276207,AUTO,N/A,"10:11:35 ET"
UBER,71.78,2026-10-02,Call,75,21,"1.28 x 180","1.33 x 235",1.28,180,bid,23000,537,235,35.72%,0.32812234038252,AUTO,N/A,"10:19:00 ET"
UBER,72.11,2026-10-23,Call,80,42,"1.10 x 200","1.12 x 1",1.1,200,bid,22000,1258,660,37.46%,0.23570877865334,AUTO,N/A,"10:00:21 ET"
UBER,71.18,2027-03-19,Call,85,189,"3.95 x 171","4.25 x 183",3.9,55,bid,21400,262,1476,40.20%,0.34550656084104,AUTO,N/A,"10:40:01 ET"
UBER,71.4,2027-09-17,Call,100,371,"4.55 x 12","4.75 x 110",4.74,45,mid,21300,52,1222,41.07%,0.30609678209985,SLAN,N/A,"11:39:21 ET"
UBER,71.78,2026-09-18,Call,71,7,"1.84 x 45","1.84 x 49",1.84,115,ask,21100,255,328,36.07%,0.60167156839368,AUTO,N/A,"10:17:52 ET"
UBER,72.225,2026-09-25,Call,72,14,"2.15 x 2","2.15 x 1080",2.15,98,ask,21000,119,556,35.41%,0.5397297609105,AUTO,N/A,"09:40:56 ET"
UBER,71.715,2026-12-18,Call,80,98,"3.00 x 69","3.05 x 143",3.03,69,mid,20900,257,9835,38.69%,0.34696108165531,AUTO,N/A,"13:23:09 ET"
UBER,72.245,2027-01-15,Call,80,126,"3.85 x 715","4.05 x 50",4.05,50,ask,20200,364,14422,38.83%,0.39177737806221,AUTO,N/A,"10:07:10 ET"
UBER,71.935,2026-12-18,Call,85,98,"2.00 x 100","2.27 x 964",2,100,bid,20000,105,3543,39.97%,0.25704001276785,AUTO,N/A,"09:56:22 ET"
