Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
IWM,292.95,2026-09-14,5,Call,302.00,-3.09%,0.12,0.12,0.13,20004,123,162.63,17.95%,16.03%,0.054106,"09:56 ET"
IWM,292.95,2026-09-14,5,Call,299.00,-2.07%,0.36,0.36,0.37,20031,572,35.02,17.95%,15.65%,0.135564,"09:58 ET"
KWEB,24.96,2026-10-02,23,Call,25.50,-2.25%,0.49,0.52,0.55,4553,131,34.76,29.38%,29.59%,0.407581,"09:54 ET"
SPY,763.96,2026-09-09,0,Call,764.00,-0.03%,1.15,1.16,1.16,68257,2044,33.39,13.25%,7.21%,0.504373,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,716.00,-0.25%,0.58,0.58,0.59,58903,1824,32.29,19.14%,11.03%,-0.240457,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,717.00,+0.11%,2.71,2.72,2.72,63690,2007,31.73,19.14%,10.70%,0.683293,"10:00 ET"
USO,148.49,2026-09-11,2,Call,152.00,-2.34%,0.99,1.06,1.08,2816,148,19.03,46.37%,53.91%,0.285824,"10:00 ET"
IWM,292.95,2026-09-25,16,Put,270.00,-7.83%,0.51,0.54,0.54,6001,327,18.35,17.95%,27.16%,-0.069734,"09:50 ET"
QQQ,717.94,2026-09-09,0,Call,718.00,-0.03%,2.04,2.04,2.05,60082,3662,16.41,19.14%,10.46%,0.591502,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,716.00,+0.25%,3.46,3.48,3.48,28112,1772,15.86,19.14%,10.97%,0.761212,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,717.00,-0.11%,0.82,0.82,0.83,69662,4510,15.45,19.14%,10.71%,-0.317593,"10:00 ET"
IWM,292.95,2026-09-09,0,Call,294.00,-0.36%,0.19,0.2,0.2,15128,987,15.33,17.95%,9.67%,0.228767,"10:00 ET"
SPY,763.96,2026-10-09,30,Put,749.00,-1.94%,6.5,6.73,6.55,2212,150,14.75,13.25%,15.24%,-0.301789,"09:53 ET"
QQQ,717.94,2026-09-09,0,Call,719.00,-0.17%,1.45,1.45,1.46,50733,3510,14.45,19.14%,10.12%,0.489768,"10:00 ET"
SPY,763.96,2026-09-09,0,Put,763.00,-0.10%,0.67,0.67,0.68,69994,5018,13.95,13.25%,7.02%,-0.356803,"10:00 ET"
SCO,21.43,2026-10-16,37,Call,20.00,+6.63%,2.6,2.7,2.85,2005,146,13.73,71.60%,73.37%,0.659599,"09:48 ET"
QQQ,717.94,2026-09-09,0,Put,715.00,-0.39%,0.42,0.43,0.43,62628,4623,13.55,19.14%,11.51%,-0.181479,"10:00 ET"
IWM,292.95,2026-09-09,0,Call,293.00,-0.02%,0.54,0.54,0.55,7544,586,12.87,17.95%,9.77%,0.474363,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,715.00,+0.39%,4.29,4.29,4.36,10016,780,12.84,19.14%,11.59%,0.817201,"10:00 ET"
SMH,574.58,2026-09-09,0,Call,585.00,-1.82%,0.16,0.21,0.25,2028,160,12.68,36.40%,19.85%,0.076913,"09:59 ET"
SPY,763.96,2026-09-09,0,Call,763.00,+0.10%,1.76,1.77,1.77,24468,2087,11.72,13.25%,7.47%,0.636172,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,720.00,-0.31%,0.99,0.99,1,50926,4937,10.32,19.14%,9.95%,0.383943,"10:00 ET"
QQQ,717.94,2026-09-09,0,Put,713.00,-0.67%,0.22,0.23,0.23,27291,2669,10.23,19.14%,12.46%,-0.101505,"10:00 ET"
QQQ,717.94,2026-09-09,0,Call,724.00,-0.86%,0.15,0.15,0.16,29444,2984,9.87,19.14%,10.10%,0.089026,"10:00 ET"
USO,148.49,2026-09-11,2,Put,142.00,-4.40%,0.31,0.33,0.34,2240,228,9.82,46.37%,51.32%,-0.11605,"09:59 ET"
SPY,763.96,2026-09-09,0,Call,765.00,-0.16%,0.68,0.68,0.69,54239,5581,9.72,13.25%,6.97%,0.363161,"10:00 ET"
IWM,292.95,2026-09-09,0,Put,293.00,+0.02%,0.58,0.59,0.59,22490,2320,9.69,17.95%,8.77%,-0.530181,"10:00 ET"
SPY,763.96,2026-09-09,0,Call,766.00,-0.29%,0.38,0.39,0.39,38555,4101,9.4,13.25%,6.95%,0.237991,"10:00 ET"
SPY,763.96,2026-09-10,1,Put,763.00,-0.10%,1.79,1.79,1.8,7939,928,8.55,13.25%,14.23%,-0.42755,"10:00 ET"
SPY,763.96,2026-09-10,1,Call,764.00,-0.03%,2.35,2.36,2.36,5859,697,8.41,13.25%,14.68%,0.50335,"10:00 ET"
IWM,292.95,2026-10-02,23,Put,277.00,-5.44%,1.39,1.39,1.44,1219,150,8.13,17.95%,23.14%,-0.155198,"09:42 ET"
