Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
MU,999.71,2026-09-04,0,Put,975.00,-2.28%,0.27,0.28,0.3,12447,132,94.3,60.61%,31.15%,-0.042806,"12:12 ET"
NVDA,231.3,2026-09-09,5,Put,232.50,+0.67%,3.65,3.73,3.75,17921,226,79.3,33.81%,27.71%,-0.56352,"12:12 ET"
MU,999.71,2026-09-04,0,Put,980.00,-1.77%,0.48,0.5,0.52,24136,313,77.11,60.61%,29.87%,-0.071854,"12:12 ET"
SIRI,29.16,2026-09-11,7,Call,30.00,-2.67%,0.18,0.23,0.23,17287,241,71.73,31.47%,31.58%,0.268823,"11:26 ET"
MU,999.71,2026-09-04,0,Put,970.00,-2.78%,0.16,0.17,0.18,27667,394,70.22,60.61%,32.69%,-0.026106,"12:12 ET"
MU,999.71,2026-09-04,0,Put,"1,000.00",+0.23%,4.6,4.69,4.75,16727,239,69.99,60.61%,27.87%,-0.432329,"12:12 ET"
USAR,17.41,2026-10-16,42,Call,24.00,-38.49%,0.35,0.39,0.42,7165,113,63.41,79.55%,83.29%,0.166071,"12:09 ET"
INTC,95.44,2026-09-11,7,Call,107.00,-12.77%,0.31,0.31,0.34,18868,308,61.26,57.20%,60.22%,0.090962,"12:11 ET"
NVDA,231.3,2026-10-02,28,Put,235.00,+1.75%,10.3,10.32,10.45,6423,105,61.17,33.81%,33.31%,-0.546346,"12:09 ET"
SMCI,40.44,2026-09-11,7,Call,42.50,-6.70%,0.71,0.75,0.76,14752,284,51.94,71.04%,68.17%,0.313874,"12:11 ET"
PATH,15.25,2026-12-18,105,Put,15.00,-1.38%,1.94,2.03,2.04,15987,322,49.65,58.46%,69.15%,-0.394784,"12:08 ET"
SIRI,29.16,2026-09-11,7,Call,30.50,-4.38%,0.02,0.12,0.16,17255,420,41.08,31.47%,29.97%,0.146858,"11:34 ET"
NVDA,231.3,2026-09-11,7,Call,252.50,-9.33%,0.17,0.17,0.19,32263,898,35.93,33.81%,35.71%,0.039734,"12:11 ET"
DAL,79.91,2026-09-11,7,Call,82.00,-2.63%,0.47,0.49,0.56,5810,163,35.64,37.69%,28.61%,0.27085,"12:07 ET"
TSLA,352.16,2026-09-04,0,Call,355.00,-0.93%,1.04,1.05,1.05,121240,3467,34.97,39.93%,28.48%,0.313267,"12:12 ET"
NVDA,231.3,2026-09-04,0,Put,230.00,-0.42%,0.34,0.35,0.35,267183,7716,34.63,33.81%,16.32%,-0.282327,"12:12 ET"
NVDA,231.3,2026-09-04,0,Put,232.50,+0.67%,1.64,1.65,1.68,200324,6256,32.02,33.81%,16.25%,-0.759992,"12:12 ET"
PL,18.08,2026-11-20,77,Call,26.00,-41.54%,0.5,0.62,0.7,5873,184,31.92,70.21%,74.90%,0.200082,"12:03 ET"
PL,18.08,2026-10-16,42,Call,20.00,-8.87%,1.05,1.1,1.2,8548,319,26.8,70.21%,72.19%,0.403526,"12:06 ET"
CIFR,17.68,2026-09-11,7,Put,18.00,+1.52%,0.99,1.01,1.08,11544,434,26.6,90.10%,86.60%,-0.540512,"12:02 ET"
APLD,26.25,2026-09-11,7,Put,26.50,+1.22%,1.04,1.09,1.08,3271,124,26.38,82.67%,63.36%,-0.528326,"12:07 ET"
MSFT,500.85,2026-09-09,5,Call,505.00,-0.86%,2.62,2.69,2.81,3318,126,26.33,23.69%,18.44%,0.369265,"12:12 ET"
META,612.2,2026-09-04,0,Put,607.50,-0.66%,0.56,0.6,0.62,11435,436,26.23,34.15%,17.71%,-0.1896,"12:12 ET"
LULU,100.39,2026-09-11,7,Put,104.00,+3.91%,4,4.65,4.95,2516,101,24.91,40.96%,39.06%,-0.73689,"12:09 ET"
META,612.2,2026-09-04,0,Put,602.50,-1.48%,0.11,0.11,0.12,9475,384,24.67,34.15%,18.74%,-0.046492,"12:12 ET"
DOW,30.3,2026-09-11,7,Put,29.00,-4.35%,0.12,0.13,0.15,10148,412,24.63,38.97%,34.26%,-0.171427,"11:45 ET"
SNDK,1699.49,2026-09-04,0,Put,"1,650.00",-2.14%,1.15,1.2,1.25,4920,210,23.43,73.07%,40.18%,-0.074861,"12:12 ET"
MU,999.71,2026-09-04,0,Put,965.00,-3.28%,0.1,0.11,0.11,7286,321,22.7,60.61%,34.35%,-0.016281,"12:12 ET"
