Symbol,Price~,Exp Date,DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,Open Int,Vol/OI,Imp Vol,IV,Delta,Time
NVDA,230.36,2026-09-09,4,Put,232.50,+0.93%,3.85,4,4.05,24060,226,106.46,34.41%,28.91%,-0.611102,2026-09-05
SMCI,39.59,2026-09-11,6,Call,42.50,-7.35%,0.52,0.57,0.57,28997,284,102.1,73.04%,75.71%,0.249469,2026-09-05
PATH,15.19,2026-12-18,104,Put,15.00,-1.25%,1.81,2.17,2.17,29570,322,91.83,58.78%,67.60%,-0.406256,2026-09-05
IREN,44.68,2027-03-19,195,Put,40.00,-10.47%,8.35,8.57,8.85,14213,175,81.22,87.42%,92.47%,-0.300091,2026-09-05
SIRI,28.99,2026-09-11,6,Call,30.00,-3.48%,0.1,0.15,0.21,17688,241,73.39,26.05%,33.70%,0.220152,2026-09-05
DOW,29.44,2026-09-11,6,Put,29.00,-1.49%,0.32,0.23,0.39,26489,412,64.29,40.21%,36.50%,-0.366017,2026-09-05
INTC,95.8,2026-09-11,6,Call,107.00,-11.69%,0.46,0.46,0.51,19711,308,64,61.80%,70.10%,0.119063,2026-09-05
USAR,17.61,2026-10-16,41,Call,24.00,-36.29%,0.4,0.43,0.48,7220,113,63.89,80.81%,86.24%,0.180808,2026-09-05
NVDA,230.36,2026-10-02,27,Put,235.00,+2.01%,10.55,10.65,10.9,6603,105,62.89,34.41%,33.63%,-0.561286,2026-09-05
AMZN,258.51,2026-09-09,4,Call,247.50,+4.26%,10.6,11.63,11.7,7577,127,59.66,30.40%,20.57%,0.979845,2026-09-05
NVDA,230.36,2026-09-11,6,Call,252.50,-9.61%,0.15,0.16,0.17,43936,898,48.93,34.41%,38.92%,0.035668,2026-09-05
SMCI,39.59,2026-09-11,6,Call,40.50,-2.30%,1.01,1.09,1.15,20244,425,47.63,73.04%,72.36%,0.423796,2026-09-05
SKHY,177,2026-09-11,6,Call,195.00,-10.17%,1.26,1.32,1.35,10002,214,46.74,64.02%,71.81%,0.158787,2026-09-05
