Statement,Header,域名稱,域值
Statement,Data,Title,轉賬歷史
Statement,Data,Period,"六月 23, 2026 - 八月 7, 2026"
Statement,Data,WhenGenerated,"2026-08-10, 10:54:51 EDT"
總結,Header,域名稱,域值
總結,Data,基礎貨幣,SGD
總結,Data,期初現金,62170.490999638685
總結,Data,變更,-56266.364222301774
總結,Data,期末現金,5904.126777336911
轉賬歷史,Header,日期,賬戶,說明,交易類型,代碼,交易量,價格,Price Currency,總額,佣金,淨金額
轉賬歷史,Data,2026-08-07,U***32085,MHG SEP26 Position MTM,持倉按市價計值(MTM),MHGU6,-,-,-,1131.384,-,1131.384
轉賬歷史,Data,2026-08-07,U***32085,MCL SEP26 Position MTM,持倉按市價計值(MTM),MCLU6,-,-,-,341.3328,-,341.3328
轉賬歷史,Data,2026-08-07,U***32085,MHNG SEP26 Position MTM,持倉按市價計值(MTM),MNGU6,-,-,-,-56.2496,-,-56.2496
轉賬歷史,Data,2026-08-07,U***32085,MGC 28OCT26 Position MTM,持倉按市價計值(MTM),MGCV6,-,-,-,-5067.5776,-,-5067.5776
轉賬歷史,Data,2026-08-07,U***32085,MES 18SEP26 Position MTM,持倉按市價計值(MTM),MESU6,-,-,-,-2588.7599999999998,-,-2588.7599999999998
轉賬歷史,Data,2026-08-07,U***32085,MNQ 18SEP26 Position MTM,持倉按市價計值(MTM),MNQU6,-,-,-,-5315.5872,-,-5315.5872
轉賬歷史,Data,2026-08-07,U***32085,VXM 19AUG26 Position MTM,持倉按市價計值(MTM),VXMQ6,-,-,-,-26.565152,-,-26.565152
轉賬歷史,Data,2026-08-07,U***32085,MBT 28AUG26 Position MTM,持倉按市價計值(MTM),MBTQ6,-,-,-,-70.9512,-,-70.9512
轉賬歷史,Data,2026-08-07,U***32085,MJY 14SEP26 Position MTM,持倉按市價計值(MTM),MJYU6,-,-,-,-243.695,-,-243.695
轉賬歷史,Data,2026-08-07,U***32085,MJY 14SEP26,賣,MJYU6,-1.0,0.006357,USD,10158.485999999999(1),-0.51136,-13.3413824
轉賬歷史,Data,2026-08-07,U***32085,MJY 14SEP26,賣,MJYU6,-1.0,0.006382,USD,10198.436(1),-0.51136,26.6086176
轉賬歷史,Data,2026-08-07,U***32085,MGC 28OCT26,賣,MGCV6,-1.0,4384.0,USD,56045.056(1),-1.227264,214.71188224
轉賬歷史,Data,2026-08-07,U***32085,MES 18SEP26,賣,MESU6,-1.0,7777.5,USD,49713.78(1),-0.779824,-15.23200816
轉賬歷史,Data,2026-08-07,U***32085,MNQ 18SEP26,賣,MNQU6,-1.0,29842.0,USD,76300.0256(1),-0.779824,17.68679184
轉賬歷史,Data,2026-08-07,U***32085,MES 18SEP26,買,MESU6,1.0,7752.75,USD,-49555.578(1),-0.779824,171.73399184
轉賬歷史,Data,2026-08-07,U***32085,MJY 14SEP26,買,MJYU6,1.0,0.00635,USD,-10147.3(1),-0.51136,23.4126176
轉賬歷史,Data,2026-08-07,U***32085,MES 18SEP26,賣,MESU6,-1.0,7786.0,USD,49768.112(1),-0.779824,39.09999184
轉賬歷史,Data,2026-08-07,U***32085,BITU(US74349Y7040) 現金紅利 USD 0.01938 每股 (常規股息),股息,BITU,-,-,-,10.725776,-,10.725776
轉賬歷史,Data,2026-08-07,U***32085,BITU(US74349Y7040) 現金紅利 USD 0.01938 每股 - US 稅收,外國預扣稅,BITU,-,-,-,-3.221568,-,-3.221568
轉賬歷史,Data,2026-08-07,U***32085,ETHT(US74349Y5713) 現金紅利 USD 0.01192 每股 (常規股息),股息,ETHT,-,-,-,7.619264,-,7.619264
轉賬歷史,Data,2026-08-07,U***32085,ETHT(US74349Y5713) 現金紅利 USD 0.01192 每股 - US 稅收,外國預扣稅,ETHT,-,-,-,-2.288336,-,-2.288336
轉賬歷史,Data,2026-08-07,U***32085,FX Translations P&L,調整,-,-,-,-,139.8856699108128,-,139.8856699108128
轉賬歷史,Data,2026-08-06,U***32085,MHG SEP26 Position MTM,持倉按市價計值(MTM),MHGU6,-,-,-,178.11337500000002,-,178.11337500000002
轉賬歷史,Data,2026-08-06,U***32085,MCL SEP26 Position MTM,持倉按市價計值(MTM),MCLU6,-,-,-,797.1777000000001,-,797.1777000000001
轉賬歷史,Data,2026-08-06,U***32085,MHNG SEP26 Position MTM,持倉按市價計值(MTM),MNGU6,-,-,-,123.2352,-,123.2352
轉賬歷史,Data,2026-08-06,U***32085,MGC 28OCT26 Position MTM,持倉按市價計值(MTM),MGCV6,-,-,-,272.1444,-,272.1444
轉賬歷史,Data,2026-08-06,U***32085,MES 18SEP26 Position MTM,持倉按市價計值(MTM),MESU6,-,-,-,946.72875,-,946.72875
轉賬歷史,Data,2026-08-06,U***32085,MNQ 18SEP26 Position MTM,持倉按市價計值(MTM),MNQU6,-,-,-,2277.92565,-,2277.92565
轉賬歷史,Data,2026-08-06,U***32085,VXM 19AUG26 Position MTM,持倉按市價計值(MTM),VXMQ6,-,-,-,-86.0079,-,-86.0079
