投資組合
金融產品描述,持倉,貨幣,市價,市場價值,平均價格,未實現盈虧,已實現盈虧,最後清算,證券類型,Delta金額
ZC     OCT2026 515 C (OZC),-1,USD,0.1295806,-647.90,0.0230916,-532.45,0.00,No,FOP,-11430.14
ZC     OCT2026 420 P (OZC),-1,USD,0.0036999,-18.50,0.0143416,53.21,0.00,No,FOP,506.34
YC       SEP2026 (XC),2,USD,4.8359967,9671.99,4.7152178,241.56,0.00,No,FUT,9671.99
VXM      SEP2026,-2,USD,17.5004444,-3500.09,18.219986,143.91,0.00,No,FUT,-3500.09
SOXL   AUG2026 180 C [SOXL  260828C00180000 100],-1,USD,0.1176234,-11.76,6.772297,665.47,0.00,No,OPT,-200.27
SOXL   AUG2026 80 P [SOXL  260828P00080000 100],-1,USD,0.231498,-23.15,6.812296,658.08,0.00,No,OPT,254.37
SOXL,95,USD,119.8499985,11385.75,107.5747032,1166.15,0.00,No,STK,11385.75
RTY    SEP2026 3200 C (RTO),1,USD,5.0300446,251.50,7.030738,-100.03,0.00,No,FOP,11901.24
RTY    SEP2026 3150 C (RTO),-1,USD,11.20335,-560.17,14.969262,188.30,0.00,No,FOP,-23470.67
RTY    SEP2026 2850 P (RTO),-1,USD,12.0818548,-604.09,15.369262,164.37,0.00,No,FOP,21937.08
RTY    SEP2026 2800 P (RTO),1,USD,8.3526277,417.63,11.030738,-133.91,0.00,No,FOP,-15263.92
Q0X,11200,SGD,0.0854872,957.46,0.0619413,263.71,0.00,No,STK,957.46
ORCL   OCT2026 115 P [ORCL  261016P00115000 100],-1,USD,2.9413826,-294.14,3.08238,14.10,0.00,No,OPT,2035.28
ORCL   OCT2026 100 P [ORCL  261016P00100000 100],1,USD,1.0617562,106.18,1.117515,-5.58,0.00,No,OPT,-844.34
NUGT   SEP2026 230 C [NUGT  260918C00230000 100],-1,USD,14.371418,-1437.14,4.30736,-1006.41,0.00,No,OPT,-8484.78
NUGT   SEP2026 130 P [NUGT  260918P00130000 100],-1,USD,0.8032435,-80.32,3.887369,308.41,0.00,No,OPT,672.47
NQ     SEP2026 31600 C,-1,USD,32.9916382,-659.83,148.923155,2318.63,0.00,No,FOP,-33940.85
NQ     SEP2026 27700 P,-1,USD,179.1020813,-3582.04,199.423155,406.42,0.00,No,FOP,100600.26
NG     OCT2026 3.50 C (ON),1,USD,0.0174999,175.00,0.0172572,2.43,0.00,No,FOP,2468.99
NG     OCT2026 3.30 C (ON),-1,USD,0.0313546,-313.55,0.0297428,-16.12,0.00,No,FOP,-4196.07
NG     OCT2026 2.45 P (ON),-1,USD,0.034918,-349.18,0.0347428,-1.75,0.00,No,FOP,4452.09
NG     OCT2026 2.25 P (ON),1,USD,0.0120539,120.54,0.0132572,-12.03,0.00,No,FOP,-1779.30
MRVL   OCT2026 190 P [MRVL  261016P00190000 100],-1,USD,8.5966683,-859.67,8.568432,-2.82,0.00,No,OPT,4344.37
MRVL   OCT2026 175 P [MRVL  261016P00175000 100],1,USD,5.1538753,515.39,5.091339,6.25,0.00,No,OPT,-2874.81
MNQ      SEP2026,-1,USD,29373.4238281,-58746.85,29457.41755,167.99,0.00,No,FUT,-58746.85
MJY      SEP2026,1,USD,0.0063015,7876.81,0.0063163,-18.62,0.00,No,FUT,7849.46
MCL      OCT2026,1,USD,86.6699981,8667.00,80.978284,569.17,0.00,No,FUT,8667.00
